ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Supplier,Supplier Part
1,DW254W-11-06-85,U12,CONN-TH_6P-P2.54_DEALON_DW254W-11-06-85,1,DW254W-11-06-85,LCSC,C2935996
2,4.7K,"R4,R5",R0603,2,0603WAF4701T5E,LCSC,C23162
3,680,"R11,R21,R29,R30",R0603,4,0603WAF6800T5E,LCSC,C23228
4,10kΩ,"R23,R31,R32",R0603,3,0603WAF1002T5E,LCSC,C25804
5,100Ω,"R24,R25",R0603,2,0603WAF1000T5E,LCSC,C22775
6,120Ω,"R26,R27",R0603,2,0603WAF1200T5E,LCSC,C22787
7,100uF,C6,CAP-SMD_BD6.3-L6.6-W6.6-FD,1,VE-101M1CTR-0605,LCSC,C134723
8,BEAGLEBONE BLACK Rev.C,U2,BEAGLEBONE_BLACK_REV.2_GD,1,,,
9,TS665CJ,"SW1,SW2,SW3,SW4,SW5",SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,5,TS665CJ,LCSC,C393938
10,MT5224IWA3DY1027,"RJ3,RJ4,RJ5",RJ45-TH_MINTRON_MT5224IWA3DY1027,3,MT5224IWA3DY1027,LCSC,C2843197
11,SZYY0603G,LED1,LED0603-R-RD_GREEN,1,SZYY0603G,LCSC,C434420
12,SZYY0603R,LED3,LED0603-R-RD,1,SZYY0603R,LCSC,C434419
13,BZT52C10_C173431,D1,SOD-123_L2.8-W1.8-LS3.7-RD,1,BZT52C10,LCSC,C173431
14,DMP3056L-7,Q1,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,1,DMP3056L-7,LCSC,C150724
15,100kΩ,R20,R0603,1,0603WAF1003T5E,LCSC,C25803
16,HDR-F-2.54_1x4,H2,HDR-F-2.54_1X4,1,,LCSC,C225501
17,100nF,"C7,C5,C1,C2,C3,C4",C0603,6,CC0603KRX7R9BB104,LCSC,C14663
18,KF2EDGV-3.81-2P,"CN2,CN3,CN4,CN5,CN6,CN7,CN8,CN9,CN10,CN11,CN12,CN13,CN14,CN15,CN16,CN1",CONN-TH_2P-P3.81_KF2EDGV-3.81-2P,16,KF2EDGV-3.81-2P,LCSC,C441332
19,SS-3235D-02-L3,SW6,SW-TH_SS-3235D-02-L3,1,SS-3235D-02-L3,LCSC,C500054
20,WJ128V-4P-5.0-14-00A,CN17,CONN-TH_4P-P5.00_WJ128V-4P-5.0-14-00A,1,WJ128V-5.0-4P,LCSC,C192769
21,JK16-500_C369117,F1,FUSE-TH_L11.5-W3.8-P5.08-D1.0-S3.8,1,JK16-500,LCSC,C369117
22,XHB-4A(White)/4needle,P2,CONN-TH_4P_XHB-4A,1,XHB-4A,LCSC,C61277
23,AM26C31IDR,"U10,U9",SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,2,AM26C31IDR,LCSC,C34923
24,33,"R1,R2,R3,R6,R7,R8,R9,R10,R12,R13,R14,R15,R16,R17,R18,R19",R0603,16,0603WAF330JT5E,LCSC,C23140
25,24LC256-I/P,U3,PDIP-8_L9.3-W6.4-P2.54-LS7.6-BL,1,24LC256-I/P,LCSC,C411624
26,HDR-F-2.54_1x6,H1,HDR-F-2.54_1X6,1,,LCSC,C40877
27,SN74HCT245NSR,"U1,U5",SOIC-20_L13.3-W5.5-P1.27-LS7.8-BL,2,SN74HCT245NSR,LCSC,C133641
28,DBT50P-9.5-2P-GN,U4,CONN-TH_2P-P9.50_L16.0-W19.0-EX4.0,1,DBT50P-9.5-2P-GN-P,LCSC,C496129
29,HDR-IDC-2.54-2X12P,P1,IDC-TH_24P-P2.54-V-R2-C12-S2.54,1,2.54-2*12P直简牛,LCSC,C9137
