Name,Designator,Footprint,Quantity,Manufacturer Part,Supplier,Supplier Part
4.7K,"R4,R5",R0603,2,0603WAF4701T5E,LCSC,C23162
680,"R11,R21,R29,R30",R0603,4,0603WAF6800T5E,LCSC,C23228
10kΩ,"R23,R31,R32",R0603,3,0603WAF1002T5E,LCSC,C25804
100Ω,"R24,R25",R0603,2,0603WAF1000T5E,LCSC,C22775
120Ω,"R26,R27",R0603,2,0603WAF1200T5E,LCSC,C22787
100uF,C6,CAP-SMD_BD6.3-L6.6-W6.6-FD,1,VE-101M1CTR-0605,LCSC,C134723
SZYY0603G,LED1,LED0603-R-RD_GREEN,1,SZYY0603G,LCSC,C434420
SZYY0603R,LED3,LED0603-R-RD,1,SZYY0603R,LCSC,C434419
BZT52C10_C173431,D1,SOD-123_L2.8-W1.8-LS3.7-RD,1,BZT52C10,LCSC,C173431
DMP3056L-7,Q1,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,1,DMP3056L-7,LCSC,C150724
100kΩ,R20,R0603,1,0603WAF1003T5E,LCSC,C25803
100nF,"C7,C5,C1,C2,C3,C4",C0603,6,CC0603KRX7R9BB104,LCSC,C14663
AM26C31IDR,"U10,U9",SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,2,AM26C31IDR,LCSC,C34923
33,"R1,R2,R3,R6,R7,R8,R9,R10,R12,R13,R14,R15,R16,R17,R18,R19",R0603,16,0603WAF330JT5E,LCSC,C23140
SN74HCT245NSR,"U1,U5",SOIC-20_L13.3-W5.5-P1.27-LS7.8-BL,2,SN74HCT245NSR,LCSC,C133641
