Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1,C0603,134.75mm,-92.84mm,134.75mm,-92.84mm,134.05mm,-92.84mm,T,0,100nF
C2,C0603,131.19mm,-45.02mm,131.19mm,-45.02mm,131.19mm,-44.32mm,T,270,100nF
C3,C0603,109.09mm,-92.71mm,109.09mm,-92.71mm,108.39mm,-92.71mm,T,0,100nF
C4,C0603,69.6mm,-77.09mm,69.6mm,-77.09mm,68.9mm,-77.09mm,T,0,100nF
C5,C0603,57.4mm,-52.32mm,57.4mm,-52.32mm,56.7mm,-52.32mm,T,0,100nF
C6,CAP-SMD_BD6.3-L6.6-W6.6-FD,150.24mm,-83.31mm,150.24mm,-83.31mm,147.57mm,-83.31mm,T,0,100uF
C7,C0603,142.81mm,-30.1mm,142.81mm,-30.1mm,142.11mm,-30.1mm,T,0,100nF
CN1,CONN-TH_2P-P3.81_KF2EDGV-3.81-2P,56.26mm,-109.47mm,56.26mm,-109.48mm,54.36mm,-109.47mm,T,0,KF2EDGV-3.81-2P
CN2,CONN-TH_2P-P3.81_KF2EDGV-3.81-2P,56.26mm,-126.37mm,56.26mm,-126.37mm,54.36mm,-126.37mm,T,0,KF2EDGV-3.81-2P
CN3,CONN-TH_2P-P3.81_KF2EDGV-3.81-2P,67.2mm,-109.47mm,67.2mm,-109.48mm,65.3mm,-109.47mm,T,0,KF2EDGV-3.81-2P
CN4,CONN-TH_2P-P3.81_KF2EDGV-3.81-2P,67.2mm,-126.37mm,67.2mm,-126.37mm,65.3mm,-126.37mm,T,0,KF2EDGV-3.81-2P
CN5,CONN-TH_2P-P3.81_KF2EDGV-3.81-2P,78.15mm,-109.47mm,78.15mm,-109.48mm,76.24mm,-109.47mm,T,0,KF2EDGV-3.81-2P
CN6,CONN-TH_2P-P3.81_KF2EDGV-3.81-2P,78.14mm,-126.37mm,78.14mm,-126.37mm,76.24mm,-126.37mm,T,0,KF2EDGV-3.81-2P
CN7,CONN-TH_2P-P3.81_KF2EDGV-3.81-2P,89.08mm,-109.47mm,89.08mm,-109.48mm,87.18mm,-109.47mm,T,0,KF2EDGV-3.81-2P
CN8,CONN-TH_2P-P3.81_KF2EDGV-3.81-2P,89.08mm,-126.37mm,89.08mm,-126.37mm,87.18mm,-126.37mm,T,0,KF2EDGV-3.81-2P
CN9,CONN-TH_2P-P3.81_KF2EDGV-3.81-2P,100.02mm,-109.47mm,100.02mm,-109.48mm,98.12mm,-109.47mm,T,0,KF2EDGV-3.81-2P
CN10,CONN-TH_2P-P3.81_KF2EDGV-3.81-2P,100.02mm,-126.37mm,100.02mm,-126.37mm,98.12mm,-126.37mm,T,0,KF2EDGV-3.81-2P
CN11,CONN-TH_2P-P3.81_KF2EDGV-3.81-2P,110.96mm,-109.47mm,110.96mm,-109.48mm,109.06mm,-109.47mm,T,0,KF2EDGV-3.81-2P
CN12,CONN-TH_2P-P3.81_KF2EDGV-3.81-2P,110.96mm,-126.37mm,110.96mm,-126.37mm,109.06mm,-126.37mm,T,0,KF2EDGV-3.81-2P
CN13,CONN-TH_2P-P3.81_KF2EDGV-3.81-2P,121.91mm,-109.47mm,121.91mm,-109.48mm,120mm,-109.47mm,T,0,KF2EDGV-3.81-2P
CN14,CONN-TH_2P-P3.81_KF2EDGV-3.81-2P,121.9mm,-126.37mm,121.9mm,-126.37mm,120mm,-126.37mm,T,0,KF2EDGV-3.81-2P
CN15,CONN-TH_2P-P3.81_KF2EDGV-3.81-2P,132.84mm,-109.47mm,132.84mm,-109.48mm,130.94mm,-109.47mm,T,0,KF2EDGV-3.81-2P
CN16,CONN-TH_2P-P3.81_KF2EDGV-3.81-2P,132.84mm,-126.37mm,132.84mm,-126.37mm,130.94mm,-126.37mm,T,0,KF2EDGV-3.81-2P
CN17,CONN-TH_4P-P5.00_WJ128V-4P-5.0-14-00A,35.94mm,-125.22mm,35.94mm,-125.22mm,28.44mm,-125.21mm,T,0,WJ128V-4P-5.0-14-00A
D1,SOD-123_L2.8-W1.8-LS3.7-RD,156.21mm,-95mm,156.21mm,-95mm,154.52mm,-95mm,T,0,BZT52C10_C173431
F1,FUSE-TH_L11.5-W3.8-P5.08-D1.0-S3.8,144.15mm,-100.33mm,144.15mm,-100.33mm,142.25mm,-102.87mm,T,90,JK16-500_C369117
H1,HDR-F-2.54_1X6,153.42mm,-20.32mm,154.69mm,-20.32mm,159.77mm,-20.32mm,T,180,HDR-F-2.54_1x6
H2,HDR-F-2.54_1X4,114.3mm,-49.15mm,114.3mm,-49.15mm,118.11mm,-49.15mm,T,180,HDR-F-2.54_1x4
H3,SSD1306GDV3,114.3mm,-49.15mm,114.3mm,-49.15mm,118.11mm,-49.15mm,T,180,SSD1306 1x4 Female Header GD
LED1,LED0603-R-RD_GREEN,143.64mm,-91.82mm,143.64mm,-91.82mm,142.79mm,-91.82mm,T,180,SZYY0603G
LED3,LED0603-R-RD,152.91mm,-102.11mm,152.91mm,-102.11mm,153.76mm,-102.11mm,T,0,SZYY0603R
P1,IDC-TH_24P-P2.54-V-R2-C12-S2.54,58.67mm,-29.46mm,58.67mm,-29.46mm,72.64mm,-28.19mm,T,180,HDR-IDC-2.54-2X12P
P2,CONN-TH_4P_XHB-4A,23.11mm,-29.08mm,23.11mm,-29.08mm,23.11mm,-32.83mm,T,90,XHB-4A(White)/4needle
Q1,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,153.16mm,-97.79mm,153.16mm,-97.79mm,154.41mm,-98.74mm,T,0,DMP3056L-7
R1,R0603,123.7mm,-98.68mm,123.7mm,-98.68mm,123.7mm,-97.93mm,T,270,33
R2,R0603,125.86mm,-98.68mm,125.86mm,-98.68mm,125.86mm,-97.93mm,T,270,33
R3,R0603,128.02mm,-98.68mm,128.02mm,-98.68mm,128.02mm,-97.93mm,T,270,33
R4,R0603,118.12mm,-43.56mm,118.12mm,-43.56mm,117.36mm,-43.56mm,T,0,4.7K
R5,R0603,118.12mm,-45.72mm,118.12mm,-45.72mm,117.36mm,-45.72mm,T,0,4.7K
R6,R0603,121.54mm,-98.68mm,121.54mm,-98.68mm,121.54mm,-97.93mm,T,270,33
R7,R0603,119.38mm,-98.68mm,119.38mm,-98.68mm,119.38mm,-97.93mm,T,270,33
R8,R0603,117.22mm,-98.68mm,117.22mm,-98.68mm,117.22mm,-97.93mm,T,270,33
R9,R0603,130.18mm,-98.68mm,130.18mm,-98.68mm,130.18mm,-97.93mm,T,270,33
R10,R0603,132.33mm,-98.68mm,132.33mm,-98.68mm,132.33mm,-97.93mm,T,270,33
R11,R0603,148.71mm,-91.69mm,148.71mm,-91.69mm,149.46mm,-91.69mm,T,180,680
R12,R0603,107.44mm,-97.16mm,107.44mm,-97.16mm,107.44mm,-96.4mm,T,270,33
R13,R0603,104.99mm,-97.16mm,104.99mm,-97.16mm,104.99mm,-96.4mm,T,270,33
R14,R0603,102.54mm,-97.16mm,102.54mm,-97.16mm,102.54mm,-96.4mm,T,270,33
R15,R0603,100.09mm,-97.16mm,100.09mm,-97.16mm,100.09mm,-96.4mm,T,270,33
R16,R0603,97.65mm,-97.16mm,97.65mm,-97.16mm,97.65mm,-96.4mm,T,270,33
R17,R0603,95.2mm,-97.16mm,95.2mm,-97.16mm,95.2mm,-96.4mm,T,270,33
R18,R0603,92.75mm,-97.16mm,92.75mm,-97.16mm,92.75mm,-96.4mm,T,270,33
R19,R0603,90.3mm,-97.16mm,90.3mm,-97.16mm,90.3mm,-96.4mm,T,270,33
R20,R0603,159.12mm,-98.17mm,159.12mm,-98.17mm,158.37mm,-98.17mm,T,0,100kΩ
R21,R0603,157.98mm,-102.11mm,157.98mm,-102.11mm,158.73mm,-102.11mm,T,180,680
R23,R0603,35.31mm,-31.5mm,35.31mm,-31.5mm,36.06mm,-31.5mm,T,180,10kΩ
R24,R0603,35.31mm,-27.56mm,35.31mm,-27.56mm,36.06mm,-27.56mm,T,180,100Ω
R25,R0603,35.31mm,-19.69mm,35.31mm,-19.69mm,36.06mm,-19.69mm,T,180,100Ω
R26,R0603,48.26mm,-60.2mm,48.26mm,-60.2mm,48.26mm,-59.44mm,T,270,120Ω
R27,R0603,48.26mm,-56.39mm,48.26mm,-56.39mm,48.26mm,-57.14mm,T,90,120Ω
R29,R0603,35.3mm,-21.78mm,35.3mm,-21.78mm,34.55mm,-21.78mm,T,0,680
R30,R0603,35.31mm,-29.46mm,35.31mm,-29.46mm,34.55mm,-29.46mm,T,0,680
R31,R0603,35.31mm,-23.88mm,35.31mm,-23.88mm,36.06mm,-23.88mm,T,180,10kΩ
R32,R0603,44.2mm,-58.29mm,44.2mm,-58.29mm,43.44mm,-58.29mm,T,0,10kΩ
RJ3,RJ45-TH_MINTRON_MT5224IWA3DY1027,54.1mm,-87.5mm,54.1mm,-87.5mm,58.55mm,-86.23mm,T,180,MT5224IWA3DY1027
RJ4,RJ45-TH_MINTRON_MT5224IWA3DY1027,29.46mm,-72.14mm,29.46mm,-72.14mm,33.91mm,-70.87mm,T,180,MT5224IWA3DY1027
RJ5,RJ45-TH_MINTRON_MT5224IWA3DY1027,29.46mm,-52.32mm,29.46mm,-52.32mm,33.91mm,-51.05mm,T,180,MT5224IWA3DY1027
SW1,SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,135.76mm,-62.1mm,135.76mm,-62.1mm,139.01mm,-64.35mm,T,180,TS665CJ
SW2,SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,116.97mm,-62.1mm,116.97mm,-62.1mm,120.22mm,-64.35mm,T,180,TS665CJ
SW3,SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,126.37mm,-66.42mm,126.37mm,-66.42mm,129.62mm,-68.67mm,T,180,TS665CJ
SW4,SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,126.37mm,-56.39mm,126.37mm,-56.39mm,129.62mm,-58.64mm,T,180,TS665CJ
SW5,SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,135.26mm,-38.23mm,135.26mm,-38.23mm,132.01mm,-35.98mm,T,0,TS665CJ
SW6,SW-TH_SS-3235D-02-L3,46.61mm,-50.55mm,46.61mm,-50.55mm,44.11mm,-48.9mm,T,0,SS-3235D-02-L3
U1,SOIC-20_L13.3-W5.5-P1.27-LS7.8-BL,125.6mm,-88.9mm,125.6mm,-88.9mm,131.32mm,-85.3mm,T,180,SN74HCT245NSR
U3,PDIP-8_L9.3-W6.4-P2.54-LS7.6-BL,124.97mm,-41.91mm,124.97mm,-41.91mm,128.78mm,-38.1mm,T,180,24LC256-I/P
U4,CONN-TH_2P-P9.50_L16.0-W19.0-EX4.0,152.15mm,-112.65mm,152.15mm,-112.65mm,147.4mm,-112.65mm,T,0,DBT50P-9.5-2P-GN
U5,SOIC-20_L13.3-W5.5-P1.27-LS7.8-BL,99.95mm,-89.02mm,99.95mm,-89.02mm,105.66mm,-85.42mm,T,180,SN74HCT245NSR
