Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1,C0603,134.75mm,-92.84mm,134.75mm,-92.84mm,134.05mm,-92.84mm,T,0,100nF
C2,C0603,131.19mm,-45.02mm,131.19mm,-45.02mm,131.19mm,-44.32mm,T,270,100nF
C3,C0603,109.09mm,-92.71mm,109.09mm,-92.71mm,108.39mm,-92.71mm,T,0,100nF
C4,C0603,69.6mm,-77.09mm,69.6mm,-77.09mm,68.9mm,-77.09mm,T,0,100nF
C5,C0603,57.4mm,-52.32mm,57.4mm,-52.32mm,56.7mm,-52.32mm,T,0,100nF
C6,CAP-SMD_BD6.3-L6.6-W6.6-FD,150.24mm,-83.31mm,150.24mm,-83.31mm,147.57mm,-83.31mm,T,0,100uF
C7,C0603,142.81mm,-30.1mm,142.81mm,-30.1mm,142.11mm,-30.1mm,T,0,100nF
D1,SOD-123_L2.8-W1.8-LS3.7-RD,156.21mm,-95mm,156.21mm,-95mm,154.52mm,-95mm,T,0,BZT52C10_C173431
LED1,LED0603-R-RD_GREEN,143.64mm,-91.82mm,143.64mm,-91.82mm,142.79mm,-91.82mm,T,180,SZYY0603G
LED3,LED0603-R-RD,152.91mm,-102.11mm,152.91mm,-102.11mm,153.76mm,-102.11mm,T,0,SZYY0603R
Q1,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,153.16mm,-97.79mm,153.16mm,-97.79mm,154.41mm,-98.74mm,T,0,DMP3056L-7
R1,R0603,123.7mm,-98.68mm,123.7mm,-98.68mm,123.7mm,-97.93mm,T,270,33
R2,R0603,125.86mm,-98.68mm,125.86mm,-98.68mm,125.86mm,-97.93mm,T,270,33
R3,R0603,128.02mm,-98.68mm,128.02mm,-98.68mm,128.02mm,-97.93mm,T,270,33
R4,R0603,118.12mm,-43.56mm,118.12mm,-43.56mm,117.36mm,-43.56mm,T,0,4.7K
R5,R0603,118.12mm,-45.72mm,118.12mm,-45.72mm,117.36mm,-45.72mm,T,0,4.7K
R6,R0603,121.54mm,-98.68mm,121.54mm,-98.68mm,121.54mm,-97.93mm,T,270,33
R7,R0603,119.38mm,-98.68mm,119.38mm,-98.68mm,119.38mm,-97.93mm,T,270,33
R8,R0603,117.22mm,-98.68mm,117.22mm,-98.68mm,117.22mm,-97.93mm,T,270,33
R9,R0603,130.18mm,-98.68mm,130.18mm,-98.68mm,130.18mm,-97.93mm,T,270,33
R10,R0603,132.33mm,-98.68mm,132.33mm,-98.68mm,132.33mm,-97.93mm,T,270,33
R11,R0603,148.71mm,-91.69mm,148.71mm,-91.69mm,149.46mm,-91.69mm,T,180,680
R12,R0603,107.44mm,-97.16mm,107.44mm,-97.16mm,107.44mm,-96.4mm,T,270,33
R13,R0603,104.99mm,-97.16mm,104.99mm,-97.16mm,104.99mm,-96.4mm,T,270,33
R14,R0603,102.54mm,-97.16mm,102.54mm,-97.16mm,102.54mm,-96.4mm,T,270,33
R15,R0603,100.09mm,-97.16mm,100.09mm,-97.16mm,100.09mm,-96.4mm,T,270,33
R16,R0603,97.65mm,-97.16mm,97.65mm,-97.16mm,97.65mm,-96.4mm,T,270,33
R17,R0603,95.2mm,-97.16mm,95.2mm,-97.16mm,95.2mm,-96.4mm,T,270,33
R18,R0603,92.75mm,-97.16mm,92.75mm,-97.16mm,92.75mm,-96.4mm,T,270,33
R19,R0603,90.3mm,-97.16mm,90.3mm,-97.16mm,90.3mm,-96.4mm,T,270,33
R20,R0603,159.12mm,-98.17mm,159.12mm,-98.17mm,158.37mm,-98.17mm,T,0,100kΩ
R21,R0603,157.98mm,-102.11mm,157.98mm,-102.11mm,158.73mm,-102.11mm,T,180,680
R23,R0603,35.31mm,-31.5mm,35.31mm,-31.5mm,36.06mm,-31.5mm,T,180,10kΩ
R24,R0603,35.31mm,-27.56mm,35.31mm,-27.56mm,36.06mm,-27.56mm,T,180,100Ω
R25,R0603,35.31mm,-19.69mm,35.31mm,-19.69mm,36.06mm,-19.69mm,T,180,100Ω
R26,R0603,48.26mm,-60.2mm,48.26mm,-60.2mm,48.26mm,-59.44mm,T,270,120Ω
R27,R0603,48.26mm,-56.39mm,48.26mm,-56.39mm,48.26mm,-57.14mm,T,90,120Ω
R29,R0603,35.3mm,-21.78mm,35.3mm,-21.78mm,34.55mm,-21.78mm,T,0,680
R30,R0603,35.31mm,-29.46mm,35.31mm,-29.46mm,34.55mm,-29.46mm,T,0,680
R31,R0603,35.31mm,-23.88mm,35.31mm,-23.88mm,36.06mm,-23.88mm,T,180,10kΩ
R32,R0603,44.2mm,-58.29mm,44.2mm,-58.29mm,43.44mm,-58.29mm,T,0,10kΩ
U1,SOIC-20_L13.3-W5.5-P1.27-LS7.8-BL,125.6mm,-88.9mm,125.6mm,-88.9mm,131.32mm,-85.3mm,T,180,SN74HCT245NSR
U5,SOIC-20_L13.3-W5.5-P1.27-LS7.8-BL,99.95mm,-89.02mm,99.95mm,-89.02mm,105.66mm,-85.42mm,T,180,SN74HCT245NSR
U9,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,71.25mm,-70.36mm,71.25mm,-70.36mm,73.98mm,-74.8mm,T,90,AM26C31IDR
U10,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,53.73mm,-58.93mm,53.73mm,-58.93mm,51mm,-54.48mm,T,270,AM26C31IDR
