Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C2,C0603,131.19mm,-45.02mm,131.19mm,-45.02mm,131.19mm,-44.32mm,T,270,100nF
C3,C0603,109.09mm,-92.71mm,109.09mm,-92.71mm,108.39mm,-92.71mm,T,0,100nF
C4,C0603,69.6mm,-77.09mm,69.6mm,-77.09mm,68.9mm,-77.09mm,T,0,100nF
C5,C0603,57.4mm,-52.32mm,57.4mm,-52.32mm,56.7mm,-52.32mm,T,0,100nF
C6,CAP-SMD_BD6.3-L6.6-W6.6-FD,150.24mm,-83.31mm,150.24mm,-83.31mm,147.57mm,-83.31mm,T,0,100uF
C7,C0603,142.81mm,-30.1mm,142.81mm,-30.1mm,142.11mm,-30.1mm,T,0,100nF
C8,C0603,118.05mm,-98.04mm,118.05mm,-98.04mm,117.35mm,-98.04mm,T,0,100nF
C9,C0603,135.19mm,-98.04mm,135.19mm,-98.04mm,134.49mm,-98.04mm,T,0,100nF
CN11,CONN-TH_4P-P3.50_KF250-3.5-4P-2,66.7mm,-109.86mm,66.7mm,-109.86mm,61.45mm,-112.36mm,T,0,KF250-3.5-4P-2
CN12,CONN-TH_4P-P3.50_KF250-3.5-4P-2,87.88mm,-109.86mm,87.88mm,-109.86mm,82.63mm,-112.36mm,T,0,KF250-3.5-4P-2
CN13,CONN-TH_4P-P3.50_KF250-3.5-4P-2,67.1mm,-125.07mm,67.1mm,-125.07mm,61.85mm,-127.57mm,T,0,KF250-3.5-4P-2
CN15,CONN-TH_4P-P3.50_KF250-3.5-4P-2,87.91mm,-125.07mm,87.91mm,-125.07mm,82.66mm,-127.57mm,T,0,KF250-3.5-4P-2
CN17,CONN-TH_4P-P5.00_WJ128V-4P-5.0-14-00A,35.94mm,-125.22mm,35.94mm,-125.22mm,28.44mm,-125.21mm,T,0,WJ128V-4P-5.0-14-00A
D1,SOD-123_L2.8-W1.8-LS3.7-RD,156.21mm,-95mm,156.21mm,-95mm,154.52mm,-95mm,T,0,BZT52C10_C173431
F1,FUSE-TH_L11.5-W3.8-P5.08-D1.0-S3.8,144.15mm,-100.33mm,144.15mm,-100.33mm,142.25mm,-102.87mm,T,90,JK16-500_C369117
H1,HDR-F-2.54_1X6,153.42mm,-20.32mm,154.69mm,-20.32mm,159.77mm,-20.32mm,T,180,HDR-F-2.54_1x6
H2,HDR-F-2.54_1X4,114.3mm,-49.15mm,114.3mm,-49.15mm,118.11mm,-49.15mm,T,180,HDR-F-2.54_1x4
LED1,LED0603-R-RD_GREEN,143.64mm,-91.82mm,143.64mm,-91.82mm,142.79mm,-91.82mm,T,180,SZYY0603G
LED3,LED0603-R-RD,152.91mm,-102.11mm,152.91mm,-102.11mm,153.76mm,-102.11mm,T,0,SZYY0603R
P1,IDC-TH_24P-P2.54-V-R2-C12-S2.54,58.67mm,-29.46mm,58.67mm,-29.46mm,72.64mm,-28.19mm,T,180,HDR-IDC-2.54-2X12P
P2,CONN-TH_4P_XHB-4A,23.11mm,-29.08mm,23.11mm,-29.08mm,23.11mm,-32.83mm,T,90,XHB-4A(White)/4needle
Q1,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,153.16mm,-97.79mm,153.16mm,-97.79mm,154.41mm,-98.74mm,T,0,DMP3056L-7
R4,R0603,118.12mm,-43.56mm,118.12mm,-43.56mm,117.36mm,-43.56mm,T,0,4.7K
R5,R0603,118.12mm,-45.72mm,118.12mm,-45.72mm,117.36mm,-45.72mm,T,0,4.7K
R11,R0603,148.71mm,-91.69mm,148.71mm,-91.69mm,149.46mm,-91.69mm,T,180,680
R12,R0603,107.44mm,-97.16mm,107.44mm,-97.16mm,107.44mm,-96.4mm,T,270,33
R13,R0603,104.99mm,-97.16mm,104.99mm,-97.16mm,104.99mm,-96.4mm,T,270,33
R14,R0603,102.54mm,-97.16mm,102.54mm,-97.16mm,102.54mm,-96.4mm,T,270,33
R15,R0603,100.09mm,-97.16mm,100.09mm,-97.16mm,100.09mm,-96.4mm,T,270,33
R16,R0603,97.65mm,-97.16mm,97.65mm,-97.16mm,97.65mm,-96.4mm,T,270,33
R17,R0603,95.2mm,-97.16mm,95.2mm,-97.16mm,95.2mm,-96.4mm,T,270,33
R18,R0603,92.75mm,-97.16mm,92.75mm,-97.16mm,92.75mm,-96.4mm,T,270,33
R19,R0603,90.3mm,-97.16mm,90.3mm,-97.16mm,90.3mm,-96.4mm,T,270,33
R20,R0603,159.12mm,-98.17mm,159.12mm,-98.17mm,158.37mm,-98.17mm,T,0,100kΩ
R21,R0603,157.98mm,-102.11mm,157.98mm,-102.11mm,158.73mm,-102.11mm,T,180,680
R23,R0603,35.31mm,-31.5mm,35.31mm,-31.5mm,36.06mm,-31.5mm,T,180,10kΩ
R24,R0603,35.31mm,-27.56mm,35.31mm,-27.56mm,36.06mm,-27.56mm,T,180,100Ω
R25,R0603,35.31mm,-19.69mm,35.31mm,-19.69mm,36.06mm,-19.69mm,T,180,100Ω
R26,R0603,48.26mm,-60.2mm,48.26mm,-60.2mm,48.26mm,-59.44mm,T,270,120Ω
R27,R0603,48.26mm,-56.39mm,48.26mm,-56.39mm,48.26mm,-57.14mm,T,90,120Ω
R29,R0603,35.3mm,-21.78mm,35.3mm,-21.78mm,34.55mm,-21.78mm,T,0,680
R30,R0603,35.31mm,-29.46mm,35.31mm,-29.46mm,34.55mm,-29.46mm,T,0,680
R31,R0603,35.31mm,-23.88mm,35.31mm,-23.88mm,36.06mm,-23.88mm,T,180,10kΩ
R32,R0603,44.2mm,-58.29mm,44.2mm,-58.29mm,43.44mm,-58.29mm,T,0,10kΩ
RJ1,RJ45-TH_MINTRON_MT5224IWA3DY1027,114.17mm,-114.94mm,114.17mm,-114.94mm,109.73mm,-116.21mm,T,0,MT5224IWA3DY1027
RJ2,RJ45-TH_MINTRON_MT5224IWA3DY1027,131.45mm,-114.94mm,131.45mm,-114.94mm,127mm,-116.21mm,T,0,MT5224IWA3DY1027
RJ3,RJ45-TH_MINTRON_MT5224IWA3DY1027,54.1mm,-87.5mm,54.1mm,-87.5mm,58.55mm,-86.23mm,T,180,MT5224IWA3DY1027
RJ4,RJ45-TH_MINTRON_MT5224IWA3DY1027,29.46mm,-72.14mm,29.46mm,-72.14mm,33.91mm,-70.87mm,T,180,MT5224IWA3DY1027
